product_id,last_inserted_date,shop_id,product_name,product_image,currency,status,product_category_id,product_flag,product_cb_option,product_current_status,product_price,product_price_before_discount,product_discount,tier_variations,tier_variations_type,tier_variations_count,product_type,is_on_flash_sale,shopee_verified,product_stock,product_avg_rating,total_rating_count,rating_count_details,rating_count_with_context,rating_count_with_image,product_url,first_live_date,last_live_date,number_of_live_days,times_sold_out,max_product_price,min_product_price,max_product_discount,min_product_discount,days_on_flash_sale,all_time_sold,last_7_days_sold,all_time_like,last_7_days_like,all_time_view,last_7_days_view,all_time_comment,last_7_days_comment,all_time_rating,last_7_days_rating,last_updated_date
3568416045,2021-09-24,230954155,"VinFast - Xe máy điện Klara S Xanh",61a350026e621df4c4bda5f9a08d0163,VND,1,100641,0,0,normal,399,0,0,"Chưa gồm Pin, Đã gồm 1 Pin, Đã gồm 2 Pin","Sản phẩm",3,0,0,0,599,4.8,5,"5, 0, 0, 0, 1, 4",2,1,https://shopee.vn/VinFast---Xe-máy-điện-Klara-S-Xanh-i.230954155.3568416045,2021-08-16,2021-09-24,40,0,39900000,39900000,0,0,0,7,0,27,-1,2180,550,5,0,5,0,2021-09-25
3585554141,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi Samsung Crystal UHD 4K 50 inch UA50AU8000KXXV - Miễn Phí Lắp Đặt",6537a4b0804e9b4db9bc39ffc80b8583,VND,1,100010,269025282,0,normal,154,189,19,,,1,0,0,0,3,5,3,"3, 0, 0, 0, 0, 3",3,3,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-Samsung-Crystal-UHD-4K-50-inch-UA50AU8000KXXV---Miễn-Phí-Lắp-Đặt-i.65589552.3585554141,2021-08-16,2021-09-24,40,0,15698000,14688000,22,17,0,10,0,78,4,3727,717,4,0,3,0,2021-09-25
3656279961,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi Samsung Crystal UHD 4K 55 inch UA55TU6900KXXV - Model 2020 - Miễn phí lắp đặt",fa7e7782a6a6abef6498aed7090ad433,VND,1,100010,269025280,0,normal,134,179,25,,,1,0,0,0,5,4.8,70,"70, 0, 2, 2, 5, 61",34,22,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-Samsung-Crystal-UHD-4K-55-inch-UA55TU6900KXXV---Model-2020---Miễn-phí-lắp-đặt-i.65589552.3656279961,2021-08-16,2021-09-24,40,0,14790000,13090000,27,17,0,192,0,460,17,22032,3039,70,0,70,0,2021-09-25
3668415082,2021-09-24,230954155,"VinFast - Xe máy điện Ludo Grey",009b9e522d5b7e747dac0a84ae9f86ae,VND,1,100641,0,0,normal,129,0,0,"Chưa gồm Pin, Đã gồm 1 Pin","Sản phẩm",2,0,0,0,200,1,1,"1, 1, 0, 0, 0, 0",1,1,https://shopee.vn/VinFast---Xe-máy-điện-Ludo-Grey-i.230954155.3668415082,2021-08-16,2021-09-24,40,0,12900000,12900000,0,0,0,3,0,23,1,1813,275,1,0,1,0,2021-09-25
3708117588,2021-09-23,65589552,"[Mã ELSAMSEP giảm 5% đơn 500K] Lò Vi Sóng Samsung ME83X - 23L - Hàng chính hãng",2f0f9915fd5691956dad145de14252bf,VND,1,100010,268500994,0,normal,21,27,22,,,1,0,0,0,3,4.9,339,"339, 1, 1, 7, 15, 315",157,115,https://shopee.vn/[Mã-ELSAMSEP-giảm-5%-đơn-500K]-Lò-Vi-Sóng-Samsung-ME83X---23L---Hàng-chính-hãng-i.65589552.3708117588,2021-08-16,2021-09-23,38,0,2690000,1690000,37,0,0,903,1,1280,5,12178,2574,339,0,339,0,2021-09-25
3760839244,2021-09-24,88201679,"[Mã ELAP1TR giảm 5% đơn 3TR] Apple iPhone 12 Pro 256GB",ee36c328b153eb692a2b10b330602dbd,VND,1,100013,268959746,0,normal,282,350,19,"Silver, Graphite, Gold, Pacific Blue",Color,4,0,0,0,1,4.9,121,"121, 1, 0, 2, 3, 115",60,50,https://shopee.vn/[Mã-ELAP1TR-giảm-5%-đơn-3TR]-Apple-iPhone-12-Pro-256GB-i.88201679.3760839244,2021-08-17,2021-09-24,31,1,34990000,28190000,19,0,0,367,1,925,12,39351,3161,121,0,121,0,2021-09-25
3885553519,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU8000KXXV - Miễn Phí Lắp Đặt",c5ec25be80e73f02e65a96a1266000df,VND,1,100010,269025280,0,normal,174,219,21,,,1,0,0,0,3,5,6,"6, 0, 0, 0, 0, 6",1,0,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-Samsung-Crystal-UHD-4K-55-inch-UA55AU8000KXXV---Miễn-Phí-Lắp-Đặt-i.65589552.3885553519,2021-08-16,2021-09-24,40,0,18090000,17099000,22,17,0,10,0,89,5,4584,781,6,0,6,0,2021-09-25
3967410810,2021-09-24,53452181,"Pin sạc dự phòng Xiaomi Fast Charge Redmi 18W/20000MAH - Hàng Chính Hãng",8d2e4744da0dc7d7a5970a46d3ecbdfb,VND,1,100013,268435458,0,normal,5,0,0,"Màu Đen","Phân loại",1,0,0,0,1,4.9,135,"135, 3, 1, 0, 3, 128",68,61,https://shopee.vn/Pin-sạc-dự-phòng-Xiaomi-Fast-Charge-Redmi-18W/20000MAH---Hàng-Chính-Hãng-i.53452181.3967410810,2021-08-16,2021-09-24,38,0,490000,342000,30,0,1,274,31,238,0,7838,1421,135,16,135,16,2021-09-25
3992454875,2021-09-24,88201679,"Vòng da Apple AirTag",a47ca00359346164ea34d8733df6ce11,VND,1,100013,268435456,0,normal,10,12,15,"Saddle Brown, (PRODUCT) Red",Color,2,0,0,0,5,0,0,"0, 0, 0, 0, 0, 0",0,0,https://shopee.vn/Vòng-da-Apple-AirTag-i.88201679.3992454875,2021-08-16,2021-09-24,40,0,1190000,1010000,15,0,0,0,0,15,2,2693,434,0,0,0,0,2021-09-25
4018019342,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi LED SAMSUNG 32 Inch UA32T4500AKXXV - Miễn phí lắp đặt",a6839e2c24911bf6a6219350976fa580,VND,1,100010,269025282,0,normal,69,80,14,,,1,0,0,0,2,4.8,86,"86, 3, 0, 0, 3, 80",46,34,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-LED-SAMSUNG-32-Inch-UA32T4500AKXXV---Miễn-phí-lắp-đặt-i.65589552.4018019342,2021-08-16,2021-09-24,40,0,7590000,6599000,18,5,1,214,1,477,5,6135,484,86,0,86,0,2021-09-25
